hsa.miR.192.5p,hsa.let.7g.5p,hsa.let.7a.5p,hsa.miR.194.5p,hsa.miR.122.5p,hsa.miR.340.5p,hsa.miR.26b.5p,Class
106915.650897745,2592.83186201775,172046.869547067,52659.0838307166,0.140976659255102,53.0394901556429,3414.97026992776,Case
173541.753357878,3423.32269471791,137186.202306851,62533.6550182267,0.91017333464697,36.4372266456485,3144.34286509687,Case
145400.460848727,3126.36900539184,128567.783562558,58624.5160814154,0.628433591453359,40.9450625367463,3481.02185821324,Case
25978.9274711302,1347.20452781604,126634.589931522,15168.7042581448,0.512666946044192,26.7466610791162,1268.95118889515,Case
20068.1990620792,2094.17182504432,108822.387160794,13297.1327419262,0.119170235935599,46.0673822141253,1906.63806170505,Case
22629.4935126752,1831.34893871215,107652.67319295,13914.052713762,0.353206644067541,38.3441807457712,1670.26128949178,Case
21843.5272072973,1642.40339253703,147384.491869796,14584.5038210489,0,37.8390480878297,1565.81928517693,Case
21482.1688495455,1566.11678572511,150268.54486842,14243.3069031548,0,36.8498610281386,1545.03521443182,Case
21439.7166538322,1727.69489802467,127348.230303534,11748.5266212211,0,46.2484540352598,1688.28102867911,Case
32653.9209196556,1150.65183097357,104671.176925145,16589.6755006302,2.01040269760415,17.2755643720739,1063.43259669445,Case
61749.1646529567,2328.14737927448,135192.252781167,25721.8992152498,16.4762311950326,46.6486619180068,2292.21263660118,Case
39977.1373517537,1560.97508004401,113883.92653151,12849.4064050165,6.52984938910231,27.5750418363605,2577.00502036326,Case
53652.6933403239,2588.44067001715,159422.790071182,33736.1062746272,0.883105419576168,97.4283192306757,4093.67710034549,Case
68883.5459949253,2668.6633433227,151697.54472876,39397.653148754,2.02011637040414,120.873483257368,5169.16259797174,Case
72243.8807683282,2650.26368237985,154711.15656753,40994.1354819422,1.78857848187909,115.02308990201,5005.34031276568,Case
20286.8436911493,3966.2316990234,227915.503379552,8975.94113880349,4.11066056136042,105.37022018712,2455.7233485966,Case
31618.1711981027,5979.5759220086,350995.144719394,15090.130226722,0,99.234413119033,2606.03493757918,Case
24330.8229863825,5283.16148541891,313288.867887543,11163.3613679144,2.51767267449759,95.7276469266508,2541.53018023493,Case
