fnames,Sample0,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19
A1BG,26.0302,120.1349,50.8597,145.9037,127.3671,67.1409,164.7134,21.9745,17.4375,126.5687,237.2049,243.9686,368.0002,95.3978,86.1017,138.7365,74.253,51.2577,103.77,99.6544
A1CF,0.0,0.322,0.0,0.0,0.0,36.2416,0.0,0.0,15.9212,0.0,0.3747,0.0,0.0,0.0,0.0,0.5692,0.0,0.0,0.0,0.0
A2BP1,1.7454,1.6098,0.0,0.0,0.0,0.0,97.7167,0.0,0.0,0.0,1.124,0.0,0.5388,0.0,0.3082,0.0,0.4745,0.0,1.3937,0.0
A2LD1,135.5022,89.0629,151.1332,112.0685,87.5748,111.8624,64.9465,180.7029,133.5785,228.6295,91.5024,59.8984,110.6102,154.3228,57.1125,68.1047,70.1963,60.2753,81.6237,78.6636
A2M,9844.7858,25712.6617,16943.6359,23326.2727,48314.5571,7798.896,14147.7758,4611.4227,24726.2775,5078.8294,61787.8157,33512.8328,109322.1173,63184.0406,133594.6379,68335.7314,135432.6125,133695.1685,113644.1812,73240.7488
A2ML1,0.3491,1.6098,0.0,4.7861,0.0,36.5772,0.6387,390.8484,0.7582,19.2159,0.0,0.3649,0.0,2.8908,0.6163,50.0854,0.0,0.0,1.0453,0.768
A4GALT,130.9015,578.5562,356.4619,554.4677,152.7184,399.3289,657.8317,622.7803,210.7657,843.291,604.3462,556.0745,422.4189,185.0139,690.2928,500.8537,492.9638,591.3621,643.2056,631.7204
A4GNT,1.0472,0.6439,0.9948,2.1537,1.8326,2.349,0.6387,0.5369,0.7582,5.3009,4.4961,3.2839,3.7716,0.9636,2.7735,1.7075,1.8978,4.2715,1.3937,1.1521
AAA1,0.0,0.322,1.3264,1.4358,0.0,0.3356,5.747999999999999,0.0,0.7582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,651.0167,604.3128,588.5766,608.3112,665.8522,715.4362,709.5641,899.8102,595.906,878.1888,612.589,530.1681,544.7264,468.3164,550.6934,608.9926,553.2202,555.7665,571.0801,474.2704
AACS,803.5605,999.9976,754.0413,1079.9796,709.8351,1405.7047,1566.6613,726.6665,694.4655,1604.1966,608.4676,591.4677,502.1613,453.8622,488.7519,581.6733,547.0522,599.4305,521.6028,848.6943
AACSL,0.6981,0.0,0.6632,2.6323,3.6652,0.3356,0.0,0.0,0.0,0.0,0.7493,1.8244,5.9268,3.8545,3.698,13.0905,3.3212,0.9492,1.0453,2.6882
AADAC,3.4907,266.9021,26.1958,3.5896,34.8198,199.6644,0.0,121.6032,186.5049,15.6819,197.8269,50.7181,308.7322,571.4231,313.7134,457.029,50.7672,246.7964,297.561,72.9647
AADACL2,0.6981,0.0,0.0,0.0,0.0,1.3423,0.0,0.0,0.0,0.0,0.0,0.0,0.5388,0.0,0.0,3.4149,1.8978,21.3574,0.0,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.322,0.0,0.0,0.0,0.0,0.6387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3082,0.5692,0.0,0.9492,0.0,0.0
AADAT,53.0587,185.4471,81.9033,46.6643,100.7941,90.2685,247.8046,2.6844,90.2199,110.87799999999999,76.4331,75.1649,96.4451,131.0515,99.5378,127.49,75.9136,89.70100000000001,94.0767,69.1244
AAGAB,988.2189,904.3764,1148.3047,1005.556,1103.8485,1486.2416,575.4431,2033.4315,1724.7915,1060.6295,617.0851,772.4473,851.3034,1065.757,617.5655,759.2487,642.4186,626.9578,678.3972,788.4025
AAK1,1038.136,839.6631,571.6654,834.6929,1042.7611,913.7584,468.1463,409.3707,1451.0993,641.6345,515.9236,668.0921,401.4057,570.4595,822.188,803.0734,978.8106,801.1391,980.4878,1069.1244
AAMP,1915.3504,2238.8871,2808.9198,2470.0975,2535.1252,3261.0738,1689.2863,3967.0034,2536.0121,2806.1844,2391.9071,2112.2803,1953.1487,2004.317,2230.5085,2241.8896,1835.6851,2100.1424,2037.2822,1933.1797
AANAT,0.0,0.322,0.6632,0.7179,0.0,0.3356,0.0,1.8791,0.0,1.3252,0.0,0.0,0.0,0.0,0.3082,0.5692,0.0,0.0,0.3484,0.0
AARS,3054.7168,2826.78,3553.6765,4093.0582,1674.4044,3752.6846,3311.5121,3431.466,5511.7513,5410.2706,2289.2469,1795.2011,1915.4327,1869.411,2746.0709,2611.8384,2690.6617,2930.7072,2737.9791,2640.1690000000003
AARS2,516.9282,319.3135,411.8246,409.17900000000003,401.9548,760.3893,389.5833,238.1061,475.2085,399.0856,255.5227,233.1463,180.4979,185.8908,403.0632,403.5231,363.4362,364.4803,337.6272,298.3756
AARSD1,472.2925,500.6427,625.715,456.353,403.7874,442.6174,404.9178,854.4439,216.0728,589.9503,380.6669,323.647,419.1861,386.4092,352.8505,359.1349,311.2456,297.1049,366.5505,325.2688
AASDH,370.3639,226.3356,233.1095,218.9633,246.7929,282.2148,156.4745,269.2451,319.9393,289.122,245.4103,230.2382,200.4335,282.3389,262.2496,266.9323,214.9303,185.0973,177.3519,172.043
AASDHPPT,465.6602,966.5141,897.9524,748.3041,960.8308,620.1342,815.5453,915.1113,1106.141,631.2535,780.8168,711.1478,808.1995,890.3793,658.8598,636.3119,582.6367,426.1984,562.7178,645.9293
AASS,270.5297,372.8259,198.9555,221.8349,999.3891,96.9799,219.0643,41.0713,576.9522,229.9282,411.39,594.3867,232.2226,553.1144,355.624,281.7302,413.72900000000004,663.9772,664.1115,939.3241
AATF,1837.1586,1493.5572,2418.9671,1504.7445,990.8369,1448.9933,743.4137,1792.3726,660.3487,1417.7802,902.2106,834.1117,732.7675,657.1847,966.4099,1128.6283,974.066,988.6094,1037.2822,1114.8233
AATK,66.3234,168.4284,37.8015,53.6041,595.7605,99.7047,179.4667,84.2901,287.3389,26.0674,566.5043,529.8835,400.3281,173.4505,1076.8413,783.1531,884.3931,1237.7788,1007.5854,756.5284
ABAT,431.8003,478.7496,91.8511,242.1758,714.7221,239.2617,542.8708,191.9345,319.1812,161.016,560.1349,657.5107,134.1611,473.1344,298.6133,350.5976,315.9902,286.1889,316.3763,589.4777
ABCA10,8.7268,6.7611,2.3211,4.5468,10.9957,2.0134,1.916,409.3707,3.0326,1.1044,38.9659,36.1229,15.0864,7.7089,35.131,12.5213,36.0589,37.0195,17.0732,9.2166
ABCA1,1527.0303,1572.3819,1980.5786,1804.5543,1784.9725,663.0805,654.6256,510.0276,898.4079,1396.9961,1187.3286,1262.4715,496.2345,5122.4946,2490.2773,1554.3369,2417.8378,1380.6217,1836.5749,1314.4931
ABCA11P,41.9094,122.3081,146.8988,35.7664,106.8357,81.2349,83.27,229.1456,130.0531,28.8437,80.6707,69.1773,82.8189,75.8075,66.1448,75.7029,65.4707,60.4271,60.5575,61.6859
ABCA12,484.1609,140.3731,778.2475,180.6746,185.0947,66.7785,66.4218,680.4949,287.3389,423.8542,1.124,1.0946,1.0776,0.0,1.849,13.0905,0.9489,0.4746,0.6969,2.6882
ABCA13,311.371,357.6939,22.2167,424.04699999999997,140.5009,6.0403,12.1348,5.3688,137.2252,724.6825,91.7947,132.8157,35.5608,49.1443,115.5624,48.3779,13.2849,11.8652,30.662,14.5929
ABCA17P,9.774,3.8635,0.6632,94.5251,7.9414,1.6779,36.4043,1.0738,0.0,8.8349,4.8707,2.9189999999999996,4.3104,3.8545,2.1572,6.2607,1.4234,2.373,5.5749,0.768
ABCA2,1399.075,839.3412,429.4123,1303.0111,904.7037,457.7181,851.3492,1200.4628,2825.6255,674.7653,569.127,567.0208,570.05,362.3188,1302.0031,947.0689,1317.1005,1123.3982,1102.0906,890.553
ABCA3,6593.5946,6713.7636,1127.0828,1551.6481,8680.5131,2727.1812,10154.2392,199.1823,2178.9234,216.2341,16874.4848,11550.9516,12297.5629,23674.0672,13218.7982,34482.6409,15167.5318,31408.1633,35417.77,32078.341
ABCA4,1939.0872,33.8055,99.1461,28.7165,518.6316,1060.0671,13.4121,104.1546,6.0652,74.8758,8.9921,15.6898,49.5696,14.4542,18.49,14.798,19.4529,17.5605,16.0279,51.8433
ABCA5,188.1491,113.0068,123.0208,159.8552,255.956,285.906,180.1054,162.4061,142.5322,340.5853,224.054,265.6314,130.9283,187.9047,232.6656,214.5703,195.4774,198.3863,208.0139,161.6743
ABCA6,59.6911,106.5677,77.26100000000001,66.7659,117.2877,144.6309,44.707,11.5429,42.4564,128.9895,430.4983,195.5748,213.3647,182.123,289.9846,233.9215,389.0571,472.71,220.9059,139.7849
ABCA7,2541.583,1012.2319,193.9816,484.1123,521.686,336.5772,298.8983,276.2246,1178.1653,258.6416,360.0599,569.2101,362.6122,207.17700000000002,455.1618,508.8219,342.56,495.4912,478.7456,672.427
ABCA8,119.3821,55.3766,36.4752,6.9398,251.06900000000002,9.0604,4.4707,1.8791,56.8613,1.3252,956.538,623.577,1310.8995,759.3278,1733.1279,817.3022,1240.7124,1609.8719,980.4878,441.2442
ABCA9,22.3405,42.1763,21.2219,15.0762,75.1374,13.4228,17.2441,18.5223,10.6141,48.8128,291.8696,102.8957,14.5476,73.2347,307.5501,64.8833,257.1572,164.6891,95.4704,62.596000000000004
ABCB10,741.426,879.5858,707.6183,402.7489,462.4313,753.0201,410.6658,551.1069,675.5118,1015.7924,540.2773,607.5223,530.1788,593.5862,457.6271,393.284,428.4372,320.8353,486.7596,529.5699
ABCB11,0.0,0.0,0.0,1.1965,4.2761,0.3356,3.832,8.0532,0.0,7.7305,0.0,1.4595,0.0,1.9272,0.3082,2.8458,0.4745,0.9492,0.3484,0.384
ABCB1,10.8212,20.2833,83.5613,23.6911,62.92,120.8054,34.4883,26.3071,42.4564,18.5533,44.586000000000006,37.9473,82.9751,78.0527,418.49,92.7718,157.9951,65.49600000000001,125.0871,201.2289
ABCB4,4.1888,13.5222,20.8903,31.5881,258.3995,62.7517,43.4297,47.2454,19.7119,7.9514,2.6227,4.7434,2.1552,6.7453,6.1633,51.7928,14.2338,3.7969,3.1359,11.1367
ABCB5,0.0,2.8976,0.6632,0.4786,4.887,1.3423,1.916,7.2479,2.2745,52.1259,2.9974,10.2166,1.6164,18.3087,2.7735,2.2766,2.3723,2.373,5.2265,3.0722
ABCB6,515.4167,251.9505,281.5883,700.1633,1105.1436,2406.3691,599.7956,1003.7072,1092.6005,1233.5969,237.6358,263.2414,423.0008,1019.5421,304.4314,240.4439,236.7555,253.0565,221.4042,202.6728
ABCB7,370.3639,353.8304,506.0101,385.7583,384.8503,650.6711,471.9783,366.6888,470.0531,460.2982,415.8861,394.0685,379.8537,524.206,339.9076,393.284,369.1297,345.9896,352.9617,356.3748
ABCB8,565.8434,358.9817,489.7621,644.9247,883.934,517.4497,932.4605,551.3754,743.7453,434.0144,754.5897,829.0034,844.299,631.1671,492.7581,699.4878,567.4540000000001,758.8989,795.122,861.3671
ABCB9,575.8338,295.9233,313.3682,117.0843,99.2547,222.8456,225.2914,134.3461,96.8309,304.0906,76.257,63.0583,81.1809,94.2414,66.3082,122.6067,73.6884,74.0959,90.2648,91.7243
ABCC10,812.2873,629.7474,534.1955,684.4099,818.5706,813.0872,563.947,361.32,942.3806,501.3805,392.2818,471.7876,278.5594,306.4292,458.8598,512.2368,474.9343,480.3037,481.1847,485.7911
ABCC11,0.6981,0.9659,5.9687,2.1537,4.887,0.3356,0.0,21.4752,3.0326,4.8592,0.7493,0.0,1.6164,0.0,0.9245,0.5692,1.8978,1.4238,1.0453,0.0
ABCC12,3.8398,2.2537,0.0,0.0,0.0,0.6711,0.0,0.0,0.0,0.0,0.7493,0.0,0.0,0.9636,0.3082,3.4149,0.9489,0.4746,0.0,0.0
ABCC13,1.0472,0.0,3.3159,0.2393,3.6652,1.6779,0.0,0.2684,6.0652,0.2209,14.9869,20.4332,7.5432,54.926,13.5593,11.383,12.8104,23.2558,14.9826,13.4409
ABCC1,1354.743,2201.2181,1168.2003,2022.5987,2345.1436,3457.7181,1611.3684,2540.2458,577.7104,1478.0784,1085.7999,1281.8174,793.1131,2088.1514,2106.0092,1575.9818,2141.2372,2102.5154,1967.5958,1622.1198
ABCC2,4.887,7.405,22.2167,12.4438,381.1851,7064.7651,1.916,18.5223,34.1168,1009.8288,18.7336,8.7571,1.0776,4.8181,4.6225,6.2607,3.3212,4.2715,3.8328,1.5361
ABCC3,12781.5691,9754.6448,6252.1761,5053.6251,9602.3213,3943.6242,1111.9272,10801.7492,3492.0394,462.5069,908.58,1204.0983,817.3589999999999,558.8961,618.1818,772.9084,966.9491,609.8719,955.7491,1360.5991
ABCC4,354.3067,3551.8266,638.3155,800.951,1209.5296,887.5839,2713.7155,121.6032,171.3419,2681.1706,803.6718,526.8842,574.3604,714.0379,632.6656,1013.0905,742.5296,877.0764,1196.5157,1432.7957
ABCC5,798.6735,758.53,360.7726,917.9707,794.1356,1152.349,1911.5439999999999,1017.9237,974.2229,1289.8951,307.2312,515.573,298.495,665.8572,617.5655,537.2795,623.4402,384.9075,517.4216,298.3871
ABCC6,459.0278,86.2844,240.4045,184.0249,646.9151,206.7114,102.8261,57.7146,370.7354,244.9475,455.6013,548.0472,382.5477,407.6087,620.9553,616.9607,731.1426,832.9378,968.2927,579.8771
ABCC6P1,66.3234,8.3709,50.0705,16.0334,30.5437,32.5503,22.3535,2.1475,32.6005,16.7863,9.3668,18.6088,21.552,44.3262,28.6595,48.9471,61.6798,43.663999999999994,26.4808,3.8402
ABCC6P2,113.79700000000001,19.6394,36.4752,42.3568,39.0959,51.6779,66.4218,6.4426,28.0516,41.3031,82.0532,80.2732,86.7467,88.6525,58.8598,59.761,65.9499,77.3612,79.4425,57.2197
ABCC8,0.0,1.9317,0.9948,0.2393,6.1087,34.5638,82.3886,0.0,3.0326,89.8951,16.4856,10.5815,2.1552,2.8908,16.3328,19.9203,1.8978,37.4941,18.1185,6.1444
ABCC9,177.3279,183.5153,304.7335,264.9097,433.7202,62.7517,189.0468,111.1341,360.1213,50.138000000000005,398.2765,226.2245,390.6297,503.9701,892.4499,397.2681,695.0836,738.0161,673.1707,359.44699999999995
ABCD1,404.5728,239.5358,284.5063,693.2641,463.653,712.4161,387.035,433.2618,782.4109,2506.2396,443.6118,517.0325,452.5917,731.383,510.9399,474.1036,565.5561,580.4461,566.5505,651.3057
ABCD2,9.0758,14.81,20.8903,25.6055,13.4392,19.1275,14.6894,8.8585,12.8886,12.3689,18.7336,18.6088,18.3192,32.7629,27.4268,39.2715,14.2338,4.7461,3.8328,5.7604
ABCD3,1936.2946,1508.0453,884.3571,1388.2034,1739.7679,1153.3557,935.0152,1007.9915,7326.0045,1522.2529,1597.2274,1440.9043,1760.7972,2168.1314,1444.376,1338.6454,1141.0759,1196.9625,1374.2160000000001,1249.232
ABCD4,611.5717,808.1114,645.279,631.763,513.1338,657.047,505.8279,432.4565,191.812,686.9133,682.6527,669.1868,692.3575,730.4194,680.7396,694.9345,700.3027,711.4381,676.6551,519.2012
ABCE1,1090.4966,1245.3286,2229.6278,1182.1625,1379.3525,1317.4497,1679.7062,1752.375,1244.8825,1548.5367,1043.462,1192.7871,1270.4895,1648.7434,945.7627,935.1167,884.3931,726.1509,967.5958,1500.7679999999998
ABCF1,1642.0281,2056.3376,1526.6517,1994.1215,1855.223,1629.1946,1760.1788,1379.5121,2131.16,2353.8377,1085.7999,1322.3189,1005.9389,1314.3694,1612.6348,1655.6631,1482.6870000000001,1569.5301,1658.5366,1970.0461
ABCF2,1403.6129,986.7974,1539.2523,1321.9161,1223.5797,1160.7383,1850.2315,2142.9549,1161.486,684.7046,887.5984,912.9254,1053.8921,996.3768,1033.8983,1164.4849,981.1829,908.4006,1000.6969,1383.2565
ABCF3,967.9728,855.7610000000001,924.8114,1025.8969,1240.0733,1172.4832,1080.6323,1103.0191,1234.2684,1987.6311,985.3878,969.8465,745.6987,875.9251,938.6749,1048.9471,975.0149,752.2544,1000.3484,963.5177
ABCG1,632.1669,1168.059,737.1301,857.4268,623.7019,614.4295,2047.5810000000001,622.2435,203.1842,960.3534,3528.6624,4106.3401,2563.6087,1669.943,2146.0709,2192.3734,2222.8443,2121.9744,4190.5923,4221.1982
ABCG2,97.3907,65.3572,40.1227,29.913,133.7813,114.4295,14.0508,39.4607,28.0516,87.4655,419.6328,489.3018,395.4789,108.8884,990.755,272.6238,524.2781,274.7983,647.7352,495.3917
ABCG4,9.0758,1.9317,3.3159,1.6751,5.4979,2.0134,1.2773,1.6106,0.7582,2.4296,0.3747,2.9189999999999996,4.3104,22.1631,1.849,5.1224,6.167999999999999,1.8984,7.3171,1.9201
ABCG5,2.0944,0.9659,0.6632,0.7179,0.6109,1.0067,0.0,0.0,1.5163,1.3252,0.7493,1.8244,1.6164,1.9272,1.849,1.7075,1.4234,0.4746,0.6969,0.0
ABCG8,0.3491,0.0,0.0,0.0,0.6109,0.3356,0.0,0.0,0.7582,0.2209,0.0,0.0,0.0,0.0,0.3082,0.0,0.0,0.0,0.0,0.0
ABHD10,450.6501,489.6962,725.5243,604.4823,406.2309,432.8859,464.9529,589.2254,623.9575,1235.5605,715.6238,714.7965,683.1979,586.8409,474.8844,566.3062,390.9549,267.6792,359.2334,414.7465
ABHD11,935.8583,282.356,1067.3962,1139.8057,1216.8601,571.8121,1586.4602,1049.5996,617.1342,1055.7703,480.3297,568.8452,427.2681,336.3013,255.1618,350.0285,296.5374,333.1751,329.6167,354.8387
ABHD12,1231.8701,1616.2228,1733.2339,2454.0641,1163.1032,2733.2215,997.605,1068.122,1564.0637,2489.2325,1754.2151,2285.9624,1437.5174,2166.2041,962.7119,1254.4109,1208.9236,1237.3042,1373.5192,2282.6421
ABHD12B,8.7268,2.2537,0.6632,1.6751,1.8326,0.3356,0.6387,6.1741,0.0,0.6626,19.8576,56.92100000000001,3.2328,2.8908,4.3143,3.4149,2.8468,1.4238,3.8328,2.3041
ABHD13,496.0293,563.4243,438.3652,719.5876,447.1594,386.5772,488.5837,290.9887,570.887,1097.2943,813.4133,837.3956,1028.0297,916.3969,538.0586,532.1571,473.9854,453.7257,498.9547,586.0215
ABHD14A,254.8215,261.1198,153.1957,181.7994,254.1234,354.10400000000004,518.6013,202.672,473.8438,182.0077,569.4642,520.4587,478.9552,393.6459,435.7781,453.0848,420.4426,508.3056,455.0523,308.0952
ABHD14B,1134.8285,1332.5789,1895.0510000000002,1215.1865,1368.9676,1609.396,1406.3548,1543.5289,633.0553,1181.8885,2513.6755,1838.6216,1601.3125,1595.7447,1968.8752,2394.9915,1880.7588,2275.7475,2010.453,1062.596
ABHD15,519.068,280.7463,556.4122,637.7456,486.8662,495.30199999999996,341.0506,412.8604,274.4503,438.8736,427.1263,455.733,359.3794,359.42800000000005,356.5485,492.3164,465.4451,410.0617,491.9861,483.1029
ABHD1,30.0201,0.6439,10.2794,2.8716,21.9914,52.6846,5.747999999999999,3.2213,0.0,27.8299,5.6201,2.9189999999999996,4.3104,2.8908,4.9307,3.9841,3.3212,4.7461,4.878,2.6882
ABHD2,4364.4297,4848.9902,3191.9091,6036.2079,11206.4753,18630.5369,2702.8581,6091.7044,6893.859,2166.0961,5949.7939,6237.2293,3193.4654,7359.1196,7091.5254,5979.5105,7847.5655,6753.2036,7794.7735,11571.4286
ABHD3,528.1438,348.0352,421.1224,501.8208,405.0092,1987.9195,848.7945,459.3005,513.2676,869.7957,475.8336,679.7682,466.6005,976.1409,322.9584,373.3637,292.2673,274.3237,321.2544,384.7926
ABHD4,951.9155,905.9862,835.2814,740.8857,1640.1955,3596.6443,933.0992,934.7074,382.8658,2580.8945,1078.6812,991.3743,1044.7325,1565.8726,1051.772,1020.4895,1205.6024,1017.5605,1000.6969,830.6452
ABHD5,663.5832,707.3389,760.6731,596.5852,580.3299,528.8591,553.0896,832.4318,614.8597,442.4075,1810.4159,2657.0436,1359.3915,985.7771,733.7442,732.4986,821.29,1531.5615,1318.8153,1337.5576
ABHD6,207.697,194.4619,152.2009,178.0423,172.8772,152.6846,229.9218,286.1568,238.8173,628.3821,530.9105,550.9662,324.3574,397.9726,901.3867,303.358,460.226,330.3275,400.6969,288.7865
ABHD8,173.8372,350.9328,180.7179,309.181,180.8186,294.9664,391.5057,171.2646,158.4534,945.7758,502.0607,494.7749,563.0456,364.2461,489.3683,507.6836,419.4225,390.6028,385.0174,440.8602
ABI1,1710.1841,2116.0026,1850.9293,2389.6601,1534.5144,2100.5168,1182.1811,1706.2759,1951.395,1244.1546,1682.5739999999998,1832.5756,1908.9887,2267.2583,1273.9260000000002,1338.4804,1375.1601,1091.8652,1235.1777,1514.0399
ABI2,971.1144,1023.1785,1229.8765,1256.8254,934.0257,907.047,643.1423,780.3545,758.9083,1013.1419,925.8149,735.9595,1147.6432,827.7444,1836.6718,1026.7501,1551.4836,1372.0929999999998,1198.2578,784.9462
ABI3,239.4624,430.7781,340.5455,369.4856,211.9731,569.4631,126.45700000000001,166.7011,147.8393,166.5378,608.0929,789.9615,577.5932,368.1005,498.9214,714.8549,484.4235,472.2354,477.7003,1054.9155
ABI3BP,371.7602,454.2809,131.9738,256.5341,513.7447,222.8188,22.9922,42.4135,156.9371,14.1358,1530.1611,1163.9617,2369.6408,986.7407,4017.5655,2223.6767,4128.7494,4772.1879,2322.9965,1999.616
ABL1,1105.5066,2180.2909,1098.8975,2076.4421,2015.8827,1302.349,1359.7318,1996.3868,2649.7346,1920.265,1438.7411,1695.2245,1387.9479,1554.3093,2192.2958,1778.0307,2429.2343,2649.2644,2943.554,3650.1536
ABL2,1441.3125,1272.6949,1231.5344,975.4037,1032.9872,733.557,709.5641,744.3836,573.1615,483.9315,467.2162,989.5499,354.5302,597.4406,577.1957,430.2789,728.7703,1067.3944,739.7213,1566.0522
ABLIM1,1534.1653,1767.5424,2272.7348,2239.1689,6469.1509,3512.0805,917.1324,1948.3361,7140.2578,1145.0028,2910.0787,2620.1909,2242.4841,2384.9445,6973.8059,4791.6904,7885.0479,6771.7133,5942.5087,3443.9324
ABLIM2,50.6152,89.8259,70.6292,62.937,53.7569,269.7987,521.156,414.2026,191.812,140.6957,58.0742,33.2039,109.9151,36.6173,146.379,74.5589,115.7682,140.9587,73.1707,67.9724
ABLIM3,242.9531,91.4357,1451.3803,237.8683,345.7544,234.5638,415.7752,529.3633,129.6437,83.4898,853.8779,401.731,1075.4441,678.3842,1712.7889,867.3876,1412.4669,1185.0973,1427.1777,614.8233
ABO,204.2063,99.1627,1.9896,112.2336,571.1668,83.8926,103.4648,11.2745,990.9022,153.9481,89.17200000000001,86.84100000000001,45.2592,57.8168,65.0231,179.852,129.5275,268.6284,157.8397,38.0184
ABP1,8.0286,151.3197,1740.5289,162.7268,836.8968,1296.3087,2557.8796,11.2745,629.2646,23.1916,23.6043,36.4878,29.0952,50.1079,30.5085,72.2823,25.1464,14.2383,18.4669,77.1889
ABR,1607.8192,3807.7822,3198.5409999999997,3342.6004,3361.0263,2307.047,1883.4424,1759.086,1501.1372,4627.0569,3360.8093,3669.5808,2021.5762,2438.9069,3407.0878,2983.4946,3267.1304,3313.2416,3218.4669,5123.2719
ABRA,0.3491,0.6439,0.0,0.7179,0.6109,1.0067,0.6387,0.2684,0.0,0.0,0.3747,0.7298,3.7716,1.9272,1.5408,1.1383,1.8978,0.9492,1.0453,0.384
ABT1,730.2557,867.9953,870.0986,724.8523,712.8894,920.4698,1168.1303,675.663,588.3245,930.7565,994.0052,927.8855,967.6841,875.9251,643.7596,777.4616,584.5345,497.8643,525.784,693.1644
ABTB1,656.2527,518.0284,588.245,519.7686,648.7477,544.9664,254.1913,367.7625,489.0068,475.3175,1239.0408,1139.15,1025.8745,953.9778,983.0508,992.6010000000001,1078.4472,1361.1770000000001,1025.0871,811.4439
ABTB2,653.8092,242.7554,138.2741,292.1904,208.3079,135.2349,213.955,383.6005,305.5345,81.7228,108.2803,77.3542,146.5535,66.4894,126.9646,224.2459,113.8704,140.9587,51.5679,172.42700000000002
ACAA1,1352.9976,1118.1557,792.8376,732.7493,2200.3665,651.3423,1821.4913,1115.6358,2151.63,265.9304,2079.4305,1994.4247,1622.3257,1959.0271,1371.3405,1601.0245,1535.8265,1268.6284,1833.4495,1725.4224
ACAA2,1696.134,1763.035,1233.524,1582.279,498.4728,1484.5638,1269.6791,407.2232,752.8431,2149.9724,2309.1045,2460.3742,2193.9921,2232.6935,1498.6133,1877.0632,1827.6193,1550.5458,1779.7909,1908.2181
ACACA,2165.634,2546.9996,1538.2575,1972.3448,2513.1338,1412.7517,971.4194,1788.6144,1532.9795,1259.8564,1639.1907,1460.6077,793.6519,1943.6093,1628.9676,1868.5259,1638.3098,2177.9782,2160.6272,2314.5161
ACACB,229.3394,214.7451,129.3211,223.9887,406.8418,133.8926,28.1015,27.9177,211.5239,640.3092,485.2004,690.7146,219.2915,146.4693,1013.2512,396.6989,566.9795,864.262,619.1638,443.1644
ACAD10,557.8148,437.8611,374.0363,453.2421,777.0312,513.7584,444.5154,967.7255,537.5284,505.577,434.245,342.2558,225.2182,352.6827,397.2265,508.2527,440.7732,435.2159,500.6969,476.9585
ACAD11,362.6844,124.2238,211.178,303.9019,345.1436,166.44299999999998,157.7519,122.677,421.5315,434.8095,273.5107,284.9699,225.757,238.8606,304.7519,240.7001,267.5953,262.9331,231.7073,211.2135
ACAD8,281.0018,1514.8064,530.2164,1587.0651,1191.8143,1523.4899,282.2928,485.0707,1011.3723,450.5798,519.2956,552.4257,388.4745,379.6639,395.6857,627.2055,460.7005,302.8002,441.115,373.2719
ACAD9,889.8333,532.5647,1006.791,739.201,901.0385,1092.2718,832.8086,684.4759,758.8855,2153.7692,876.3357,779.0151,758.6299,735.2278,771.0231,764.3711,731.1426,751.2909,802.8362,812.669
ACADL,12.2175,6.4391,22.8799,4.3075,111.7899,10.4027,0.0,4.295,33.3586,49.0337,397.9018,377.2841,231.6838,532.8785,313.0971,313.6027,349.6769,427.6222,637.2822,344.086
ACADM,959.2460000000001,632.001,636.9891,942.8584,1689.6762,1108.7248,695.5133,3090.5474,1615.6179,1557.5925,1165.2304,1187.6788,1190.2084,2037.0799,922.6502,890.7228,738.7339999999999,634.5515,894.0767,774.1935
ACADS,1009.8612,975.2069,506.0101,576.4837,695.1741,859.3960000000001,285.4862,810.1513,840.7885,950.4141,1014.2375,941.7508,1040.4221,619.6038,636.6718,817.3022,654.7546,729.9478,842.8571,734.255
ACADSB,2437.56,1063.745,421.7856,346.5124,2334.1478,1330.2013,940.1245,221.9997,1003.0326,290.889,1494.9419,1070.5529,779.1043,2592.1215,834.2065,1141.7188,772.4206,786.9008,786.0627,1498.4639
ACADVL,5050.322,3325.4717,3485.0369,4125.3403,7395.2169,2666.1007,4238.8568,3392.5422,4375.2616,2020.7399,4136.0022,4957.2253,3842.1694,3614.5159,4004.6102,4140.5805,3357.7475,3888.8799,4527.1568,5503.0645
ACAN,39.794000000000004,9.0148,7.9582,70.1161,60.4765,11.0738,20.4375,48.5876,24.2608,31.5848,6.7441,42.3259,168.6443,10.5998,15.4083,11.9522,46.9715,17.0859,66.2021,30.3379
ACAP1,150.1004,246.9408,223.1617,351.0592,105.0703,335.5705,75.3632,157.0373,85.671,63.3904,102.6602,117.4908,194.5067,196.5772,106.0092,1028.4576,252.4126,193.1656,105.5749,170.5069
ACAP2,940.3962,934.9623,986.4876,1270.9443,1138.6683,1216.7785,675.7145,940.6131,1127.3692,2273.661,1169.3518,1232.5588,1254.8644,1380.8588,1277.0416,1120.6602,974.066,885.1448,1048.7805,1113.6713
