fnames,Sample0,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19
NF2,760.2758,1241.7871,842.5765,601.6106,996.3348,814.7651,772.1539,375.5473,853.677,906.2396,732.4841,758.5819,554.9636,764.1459,1020.0308,1212.8628,1127.7910000000002,1027.5273,1119.8606,1243.8556
NFAM1,241.5569,489.0523,238.0834,641.0958,398.2896,687.9195,197.3495,358.904,97.0432,232.1369,686.3994,885.9245,639.5552,1036.8486,377.1957,1009.1064,860.6701,1280.019,1352.9617,1442.0123
NFASC,87.882,96.1685,57.3489,186.8104,121.0018,516.8188,87.0445,15.8514,70.2047,506.0188,256.1634,114.8746,216.4681,140.996,562.8505,456.3005,554.7242,351.1628,293.6585,301.7704
NFAT5,1236.059,1227.9429,501.6994,943.337,1113.0116,876.1745,519.24,721.8346,1637.6042,656.8747,801.4238,881.5459,712.8319,724.6377,1697.9969,1256.6875,1681.0112,1566.2079,1433.7979,1389.4009
NFATC1,351.165,449.7735,208.2401,325.693,413.5614,322.4832,169.248,258.2391,354.0561,491.4412,417.3848,815.8678,584.5976,552.1508,606.1633,905.5208,651.9078,888.9416,823.6934,1659.7542
NFATC2,73.3048,192.8521,105.1148,111.0371,79.4136,121.1409,14.6894,21.4752,53.0705,63.1695,28.4751,52.9074,40.9488,65.5257,110.9399,229.9374,147.0825,139.5349,154.3554,372.1198
NFATC2IP,1324.0248,1070.5061,608.4722,828.9496,958.4606,563.7584,638.6716,653.6509,529.9469,979.5693,532.4091,617.374,414.3369,480.8434,618.7982,818.4405,709.3174,575.2254,641.4634,719.6621
NFATC3,595.5144,1561.1682,471.1929,772.4738,993.2804,568.4564,407.4725,350.0455,1081.8802,813.0315,830.2735,722.8239,619.6196,1067.6842,1204.9307,1129.7666,1169.069,1163.2653,1278.7456,1146.6974
NFATC4,1465.7474,306.8248,583.6028,792.0967,1364.0806,844.2953,1355.8997,296.626,658.0743,1937.9348,417.3848,386.4061,400.3281,241.8671,444.376,233.9215,514.7889,490.7451,347.0383,475.0384
NFE2,333.0134,126.20700000000001,40.1227,60.3046,69.6396,300.0,36.4043,33.0181,85.671,90.5577,130.3859,151.7894,116.9195,110.8156,83.2049,112.6921,103.4322,106.7869,66.2021,280.722
NFE2L1,5011.6066,5999.9855,9276.9626,9114.6165,5061.0874,4938.5906,3897.1739,6539.4619999999995,5017.4375,9036.3335,5475.0843,4919.2889,4751.674,4946.2303,7896.4561,7367.6722,7640.2266,8242.5249,7116.0279,5844.085999999999
NFE2L2,2027.622,2746.5098,2814.8189,3188.2229,2143.1888,2392.0369,1168.769,2567.3287,2987.862,2488.4749,3002.1094,4103.7495,3292.5561,3146.055,3234.0185,2731.3887,3400.928,4423.7874,3158.6899,3824.3932
NFE2L3,6844.2272,758.2081,2359.9436,776.5419999999999,1131.3378,1136.5772,1131.726,1660.0317,748.2942,361.7891,174.5972,319.6334,434.8113,358.4644,341.7565,447.9226,464.4962,346.4642,301.3937,375.57599999999996
NFIA,165.8085,153.2514,168.1174,137.3606,667.6848,245.9732,161.5839,454.73699999999997,1983.3207,1160.9056,796.553,662.6189999999999,853.4586,665.8572,1335.5932,747.2965,1114.9806,1203.1324,1078.3972,726.1905
NFIB,1333.1006,1547.0021,480.1459,1825.8907,1084.9114,562.7517,1428.0696,751.8999,1592.8734,2355.1629,1303.1098,866.5859,1998.4078,1289.3154,3219.7227,1306.2038,2367.5545,2128.1443,2694.0767,1120.5837
NFIC,2838.6421,917.5767,530.2164,463.7714,753.2071,734.5638,838.5758,522.1154,1081.1221,769.2987,854.6272,666.2677,564.6619999999999,597.4406,1591.0632,977.2339,1142.9737,1397.7219,1268.6411,1504.6083
NFIL3,681.3858,545.7166,944.3754,903.6125,802.077,608.0537,2048.2197,1413.8724,764.2153,1463.0591,1046.8339999999998,1266.1276,1341.0723,1240.1711,530.0462,1342.6295,673.2585,2622.2117,1337.6307,1549.9232
NFIX,789.9468,4558.2633,460.5819,1194.367,1908.369,1101.0067,282.9315,197.3033,1170.5838,1258.9729,3076.4331,2412.94,2615.3334,2680.7740000000003,6619.7227,3741.605,5260.3361,5827.7171,4674.215999999999,2893.2412
NFKB1,1163.4523,1391.175,1455.691,1331.7276,1258.3995,1942.6174,1220.5014,1956.9261,2366.9447,1572.3909,1219.9326,1618.2352,1449.371,1521.5464,1531.5871,1870.8025,1644.4778,1951.1153,1731.7073,2802.9954
NFKB2,1030.4564,1159.6881,977.5346,1685.6584,738.5461,1220.1342,556.9216,3720.3072,1313.116,626.836,460.0974,1225.6261,990.3137,980.959,961.4792,1575.9818,1138.7036,1682.0123,918.8153,1762.2888
NFKBIA,2860.9826,1904.374,4159.496,4016.9595,5640.1955,2374.4966,8098.3554,9547.0615,1865.0493,3080.9498,7240.1649,11352.8227,7370.2402,6936.0931,5828.9676,5809.9032,4569.5226,30365.4485,9739.0244,10910.9063
NFKBIB,345.2308,339.6643,378.0154,604.9609,496.6402,586.9128,344.8826,360.5147,263.0781,349.6411,509.1795,643.2804,493.5405,472.1708,457.9353,549.2316,435.5541,597.0574,525.0871,705.0691
NFKBID,98.0888,45.0739,45.4282,38.2887,54.3677,43.6242,14.6894,26.844,32.6005,48.5919,30.7231,147.7757,11.3148,25.054000000000002,48.074,132.0433,39.8546,141.9079,33.4495,52.9954
NFKBIE,722.2271,574.6928,505.3469,838.0431,233.9646,1175.5034,324.4452,1174.6926,433.6619,407.2888,334.9569,771.3527,663.2624,598.4043,270.5701,848.0364,487.7447,924.5373,291.6376,436.6359
NFKBIL1,400.0349,519.9601,389.2896,545.8528,398.2896,461.745,399.1697,500.1033,382.8658,585.5329,612.9637,342.6207,359.3794,321.8471,448.074,385.885,401.8675,336.972,384.66900000000004,278.8018
